transaction_id,product_id,quantity,price,timestamp
T0000,P00007,5.0,27.66,2024-10-06
T0001,P00015,8.0,27.66,2024-11-04
T0002,P00011,5.0,47.56,
T0003,P00008,8.0,37.6,
T0004,P00007,7.0,40.84,
T0005,P00019,9.0,26.92,
T0006,P00011,3.0,37.47,
T0007,P00011,5.0,16.5,2024-10-09
T0008,P00004,7.0,29.39,
T0009,P00008,6.0,12.41,
T0010,P00003,8.0,5.54,
T0011,P00002,4.0,22.27,
T0012,P00012,5.0,12.17,2024-10-16
T0013,P00006,7.0,28.75,
T0014,P00002,3.0,37.65,
T0015,P00001,9.0,11.46,2024-10-20
T0016,P00012,5.041242874706605,14.75,2024-10-06
T0017,P00012,2.0,27.66,2024-10-24
T0018,P00017,8.0,34.54,
T0019,P00010,6.0,46.5,
T0020,P00016,8.0,32.96,
T0021,P00015,6.0,27.66,
T0022,P00015,7.0,47.36,2024-11-04
T0023,P00019,1.0,5.84,
T0024,P00012,4.0,23.19,
T0025,P00003,9.0,30.48,2024-10-16
T0026,P00005,9.0,46.32,2024-10-12
T0027,P00019,8.0,6.4,2024-10-07
T0028,P00007,7.0,6.92,2024-10-28
T0029,P00009,4.0,40.25,
T0030,P00007,5.041242874706605,27.66,
T0031,P00018,9.0,12.21,
T0032,P00004,4.0,28.74,2024-10-07
T0033,P00014,5.041242874706605,34.75,
T0034,P00018,6.0,9.08,2024-10-07
T0035,P00009,2.0,11.15,
T0036,P00002,9.0,20.07,2024-10-07
T0037,P00015,2.0,34.01,2024-10-09
T0038,P00007,9.0,28.37,
T0039,P00012,1.0,27.66,
T0040,P00008,7.0,18.31,
T0041,P00015,9.0,27.66,2024-11-01
T0042,P00003,3.0,34.32,
T0043,P00014,3.0,27.69,
T0044,P00017,5.041242874706605,43.91,
T0045,P00004,5.0,18.62,
T0046,P00018,1.0,13.46,2024-10-10
T0047,P00008,3.0,27.66,
T0048,P00004,5.0,49.02,
T0049,P00002,7.0,5.24,
T0050,P00006,8.0,27.66,
T0051,P00010,6.0,10.0,
T0052,P00004,9.0,33.17,
T0053,P00018,4.0,31.13,2024-10-23
T0054,P00012,5.041242874706605,27.66,
T0055,P00002,1.0,15.6,
T0056,P00010,3.0,41.88,
T0057,P00004,5.041242874706605,27.66,2024-10-12
T0058,P00014,5.0,11.4,2024-10-16
T0059,P00016,5.041242874706605,5.57,
T0060,P00015,2.0,27.66,
T0061,P00008,2.0,21.99,
T0062,P00014,9.0,46.54,2024-10-24
T0063,P00008,7.0,16.91,
T0064,P00016,6.0,27.66,
T0065,P00013,6.0,14.7,2024-10-25
T0066,P00018,6.0,47.93,2024-10-11
